event_name,date,start_time,end_time,club_name,entry_name,entry_price,full_date,place,dress_code,address,lat,lon
ROOTS,11-03-2024,22:00,05:00,La Reserva,ENTRADA GOLD,10€,Lun. 11 Marzo 2024,La Reserva ,Casual,"Calle Príncipe, 12, 28012 Madrid (Madrid), España",40.4158,-3.70041
ROOTS,11-03-2024,22:00,05:00,La Reserva,LISTA GRATIS,Gratis,Lun. 11 Marzo 2024,La Reserva ,Casual,"Calle Príncipe, 12, 28012 Madrid (Madrid), España",40.4158,-3.70041
MONDAYS at Tiffany´s The Club,11-03-2024,00:00,06:00,TIFFANY'S THE CLUB,ENTRADA 1€ ANTES DE LA 1:30H,1€,Lun. 11 Marzo 2024,Tiffany's The Club,Casual,"Av. del Dr. Arce, 10, 28002 Madrid, España",40.4455806,-3.6833062
MONDAYS at Tiffany´s The Club,11-03-2024,00:00,06:00,TIFFANY'S THE CLUB,ENTRADA 2x12€,12€,Lun. 11 Marzo 2024,Tiffany's The Club,Casual,"Av. del Dr. Arce, 10, 28002 Madrid, España",40.4455806,-3.6833062
MONDAYS at Tiffany´s The Club,11-03-2024,00:00,06:00,TIFFANY'S THE CLUB,ENTRADA 3x15€,15€,Lun. 11 Marzo 2024,Tiffany's The Club,Casual,"Av. del Dr. Arce, 10, 28002 Madrid, España",40.4455806,-3.6833062
LUNES TEATRO BARCELO,11-03-2024,00:00,06:00,Teatro Barceló,1ST RELEASE,10€,Lun. 11 Marzo 2024,Teatro Barcelo,Casual,"Calle de Barceló, 11, 28004 Madrid (Madrid), España",40.4269,-3.69978
LUNES TEATRO BARCELO,11-03-2024,00:00,06:00,Teatro Barceló,2ND RELEASE,15€,Lun. 11 Marzo 2024,Teatro Barcelo,Casual,"Calle de Barceló, 11, 28004 Madrid (Madrid), España",40.4269,-3.69978
LUNES TEATRO BARCELO,11-03-2024,00:00,06:00,Teatro Barceló,3RD RELEASE,15€,Lun. 11 Marzo 2024,Teatro Barcelo,Casual,"Calle de Barceló, 11, 28004 Madrid (Madrid), España",40.4269,-3.69978
LUNES TEATRO BARCELO,11-03-2024,00:00,06:00,Teatro Barceló,4TH RELEASE,20€,Lun. 11 Marzo 2024,Teatro Barcelo,Casual,"Calle de Barceló, 11, 28004 Madrid (Madrid), España",40.4269,-3.69978
LUNES TEATRO BARCELO,11-03-2024,00:00,06:00,Teatro Barceló,GRATIS HASTA LA 00:30H. DESPUÉS 1x20€ O 2x30€,Gratis,Lun. 11 Marzo 2024,Teatro Barcelo,Casual,"Calle de Barceló, 11, 28004 Madrid (Madrid), España",40.4269,-3.69978
